parent,task,run,fold,tri_unanimous_q20_vote,char_margin_matched_vote,unanimous_crc_matched_vote,char_crc_matched_vote,random_on_primary_vote,oracle_all_vote,random_all_vote
mlsp-2013-birds__68481672af5141e3baaeab9cb165842c,mlsp-2013-birds,cards_senior_0802.jsonl:3,4,-1,,,,-1,-1,-1
mlsp-2013-birds__6c5d4b53b90f4332a88930fc96587020,mlsp-2013-birds,cards_senior_0726.jsonl:9,3,,,,,,-1,1
mlsp-2013-birds__84467c9829b34dfea1d84bc658dc757b,mlsp-2013-birds,cards_senior_0802.jsonl:2,2,1,,1,,-1,-1,-1
mlsp-2013-birds__88987b6bf868424d8550334a1c71022c,mlsp-2013-birds,cards_senior_0730.jsonl:13,1,,,,,,-1,-1
mlsp-2013-birds__9283a6dd38844c7fa2dee50fcd3032e6,mlsp-2013-birds,cards_senior_0726.jsonl:12,3,,,,-1,,1,-1
mlsp-2013-birds__9cd7dceb89eb419b8929162bd9a911d7,mlsp-2013-birds,cards_senior_0726.jsonl:11,2,,1,,,,1,1
mlsp-2013-birds__9fb38a43ac754770ac5af5e22f73c2ca,mlsp-2013-birds,cards_senior_0730.jsonl:17,2,1,1,1,,1,-1,1
mlsp-2013-birds__a443739b7294413c854239551fb38549,mlsp-2013-birds,cards_senior_0728.jsonl:19,1,,,,,,-1,1
mlsp-2013-birds__a8570c28a5df47368efdd24c1cd2abd3,mlsp-2013-birds,cards_senior_0802.jsonl:5,1,,,,,,-1,1
mlsp-2013-birds__add2560ff805431b8ca2116aec4f5f80,mlsp-2013-birds,cards_senior_0728.jsonl:22,2,1,,1,,1,1,1
mlsp-2013-birds__b1f0df47f66149d6a39cf82e1d317aad,mlsp-2013-birds,cards_senior_0805seq.jsonl:12,2,,,,-1,,-1,1
mlsp-2013-birds__b956e0d7cf35411e8e823703226a4de5,mlsp-2013-birds,cards_senior_0802.jsonl:3,4,,-1,-1,,,-1,1
mlsp-2013-birds__ba30c73b2a5c460294d0c66709cebb0f,mlsp-2013-birds,cards_senior_0802.jsonl:2,2,,,,,,-1,-1
mlsp-2013-birds__bf2ecc748b064c0fb11220edca09f861,mlsp-2013-birds,cards_senior_0726.jsonl:13,3,,,,,,-1,1
mlsp-2013-birds__c0df1655fab74880948387865dbaac81,mlsp-2013-birds,cards_senior_0726.jsonl:9,3,,,,,,-1,1
mlsp-2013-birds__c27ea496d2f04274a94e23361db3a660,mlsp-2013-birds,cards_senior_0726.jsonl:9,3,,,,,,-1,1
mlsp-2013-birds__c5f7d96b8886487aa83921aba79e0fd8,mlsp-2013-birds,cards_senior_0802.jsonl:3,4,,,,,,1,-1
mlsp-2013-birds__c8b485c9bd164fa2b27d925333254836,mlsp-2013-birds,cards_senior_0726.jsonl:11,2,,,,,,1,-1
mlsp-2013-birds__c92a538db0624d528dcef6261e34c1ac,mlsp-2013-birds,cards_senior_0726.jsonl:14,0,,,,,,1,1
mlsp-2013-birds__d0d1d1dde89942b9825ba3f36e57f3c0,mlsp-2013-birds,cards_senior_0726.jsonl:11,2,,-1,,,,1,-1
mlsp-2013-birds__d154aab9a61947cf997d2aaed672fa87,mlsp-2013-birds,cards_senior_0802.jsonl:2,2,,,-1,,,1,1
mlsp-2013-birds__d4dd62dc4f294ee7b2a8a5525bcbeea7,mlsp-2013-birds,cards_senior_0730.jsonl:13,1,-1,,-1,,1,1,-1
mlsp-2013-birds__d6d5194219454fddbb06726214ebdb34,mlsp-2013-birds,cards_senior_0728.jsonl:21,4,,,,1,,1,-1
mlsp-2013-birds__e70af4ddf6c440b6a85c4cdc1ebafaf0,mlsp-2013-birds,cards_senior_0726.jsonl:12,3,,,,1,,1,-1
mlsp-2013-birds__e84f2b38d3614fc78da89688d75a56b4,mlsp-2013-birds,cards_senior_0726.jsonl:14,0,1,,1,,-1,-1,-1
mlsp-2013-birds__f11004a8fdf94e12a0c5c7f7f6b55607,mlsp-2013-birds,cards_senior_0730.jsonl:15,1,-1,,,,-1,1,-1
mlsp-2013-birds__f6ae06b20a8a45d688290dad955eb05c,mlsp-2013-birds,cards_senior_0805seq.jsonl:13,1,,,,,,1,1
mlsp-2013-birds__f7e233a164524694a63250378945f4d2,mlsp-2013-birds,cards_senior_0730.jsonl:13,1,,-1,,,,1,-1
mlsp-2013-birds__fd0cf8b1efce4e028ba675724559c0d3,mlsp-2013-birds,cards_senior_0726.jsonl:12,3,,,,,,1,1
mlsp-2013-birds__fd88574d5f094f3a8afd58f1a241813c,mlsp-2013-birds,cards_senior_0730.jsonl:13,1,,,,,,1,1
nomad2018-predict-transparent-conductors__11b2ce7347d14769b5888a44ec82ad71,nomad2018-predict-transparent-conductors,cards_senior_0805seq.jsonl:18,0,,,,,,1,-1
nomad2018-predict-transparent-conductors__16f17dce9bc84474916d86eb735511f8,nomad2018-predict-transparent-conductors,cards_senior_0728.jsonl:17,4,,,,,,-1,1
nomad2018-predict-transparent-conductors__1bbc3ec1ead441148c1def2dd2cf95f3,nomad2018-predict-transparent-conductors,cards_senior_0726.jsonl:6,3,-1,-1,-1,,1,1,-1
nomad2018-predict-transparent-conductors__1f39d3dbf3334d26a166e63d3a3192d5,nomad2018-predict-transparent-conductors,cards_senior_0726.jsonl:8,4,,,,,,-1,-1
nomad2018-predict-transparent-conductors__24885d5e8a284274a26e80ee8dc72ec8,nomad2018-predict-transparent-conductors,cards_senior_0730.jsonl:10,2,,,,,,1,-1
nomad2018-predict-transparent-conductors__3fda44b8f66f44fdbed7726f0b6f8dfe,nomad2018-predict-transparent-conductors,cards_senior_0726.jsonl:8,4,,1,,,,-1,-1
nomad2018-predict-transparent-conductors__409d59b49e8e404c97553a773e7b8bf9,nomad2018-predict-transparent-conductors,cards_senior_0728.jsonl:16,0,-1,-1,-1,-1,1,-1,1
nomad2018-predict-transparent-conductors__4f31e5a63edf4edc81fba6babbfc7414,nomad2018-predict-transparent-conductors,cards_senior_0805seq.jsonl:18,0,,,,,,1,1
nomad2018-predict-transparent-conductors__514ffa52da84410a9361a3cd5aa167d3,nomad2018-predict-transparent-conductors,cards_senior_0802.jsonl:9,4,,,,,,-1,1
nomad2018-predict-transparent-conductors__5b53b3edc109437aa87878adbf6c949b,nomad2018-predict-transparent-conductors,cards_senior_0726.jsonl:7,1,,,,,,-1,1
nomad2018-predict-transparent-conductors__60b665ba82524126adc65234c8be9dd1,nomad2018-predict-transparent-conductors,cards_senior_0726.jsonl:7,1,,,,,,-1,1
nomad2018-predict-transparent-conductors__74a71f4bb4704c63a9577e82f60c2fe2,nomad2018-predict-transparent-conductors,cards_senior_0728.jsonl:14,0,,,,,,-1,-1
nomad2018-predict-transparent-conductors__74bf18aa8ae3418a9b267f7feea4c6cf,nomad2018-predict-transparent-conductors,cards_senior_0728.jsonl:15,2,,,,1,,-1,1
nomad2018-predict-transparent-conductors__9b5d102b4a364d4892c488fc24df8afe,nomad2018-predict-transparent-conductors,cards_senior_0802.jsonl:8,0,,,,1,,-1,-1
nomad2018-predict-transparent-conductors__a4a2579790d845b0bb3d92305502da3b,nomad2018-predict-transparent-conductors,cards_deepA.jsonl:0,3,,,,1,,1,-1
nomad2018-predict-transparent-conductors__a92a7597a5f04d709adf5b8038e49e3e,nomad2018-predict-transparent-conductors,cards_senior_0805seq.jsonl:18,0,1,,1,,1,-1,1
nomad2018-predict-transparent-conductors__b02425b023c74eac85a9d89a3c902ea0,nomad2018-predict-transparent-conductors,cards_senior_0726.jsonl:7,1,,,,,,1,-1
nomad2018-predict-transparent-conductors__b7635113de1a4a5b84a52034002e7a72,nomad2018-predict-transparent-conductors,cards_senior_0726.jsonl:7,1,,,,,,1,1
nomad2018-predict-transparent-conductors__c006e2acdfed4e4289a3771c0284d048,nomad2018-predict-transparent-conductors,cards_senior_0805seq.jsonl:18,0,-1,-1,-1,,-1,1,-1
nomad2018-predict-transparent-conductors__cde60b73f8124b52ae993dac14fd5a56,nomad2018-predict-transparent-conductors,cards_senior_0805seq.jsonl:18,0,,,,,,-1,-1
nomad2018-predict-transparent-conductors__f6334ec296f747f9b61b1cc2f03aa123,nomad2018-predict-transparent-conductors,cards_senior_0805seq.jsonl:18,0,,,,,,-1,1
petfinder-pawpularity-score__000e27ba82ca4c05be128ed8d0a85879,petfinder-pawpularity-score,cards_deepA.jsonl:1,2,,,1,,,1,1
petfinder-pawpularity-score__0148c2428dfc4677997cdccc16097530,petfinder-pawpularity-score,cards_senior_0801.jsonl:3,2,-1,-1,,-1,1,-1,1
petfinder-pawpularity-score__044e842e45084818a44278c159896fb2,petfinder-pawpularity-score,cards_senior_0724.jsonl:0,4,,,,,,1,1
petfinder-pawpularity-score__052ffc62d97541998d04f4c7c91730b7,petfinder-pawpularity-score,cards_senior_0805seq.jsonl:2,2,,,,,,-1,1
petfinder-pawpularity-score__057ab385d2bc4945ab5dcce726d0db2b,petfinder-pawpularity-score,cards_senior_0804.jsonl:2,3,,,1,,,1,-1
petfinder-pawpularity-score__066252890bed42a3aece1d89e7eab6fa,petfinder-pawpularity-score,cards_senior_0801.jsonl:3,2,,1,,,,-1,-1
petfinder-pawpularity-score__0abf6f30bb8a4c5aa15c10f074794d9e,petfinder-pawpularity-score,cards_senior_0731.jsonl:1,1,,,,1,,-1,1
petfinder-pawpularity-score__0ffbbd56336142f6b3b599806eae7b84,petfinder-pawpularity-score,cards_senior_0724.jsonl:1,0,,,,,,-1,1
petfinder-pawpularity-score__1405f6890cc640d8a504fc2613d76fa3,petfinder-pawpularity-score,cards_senior_0801.jsonl:3,2,,,,,,-1,-1
petfinder-pawpularity-score__15e63d7afd8346a0bbd86db949f1ef27,petfinder-pawpularity-score,cards_senior_0801.jsonl:3,2,,,,,,-1,-1
petfinder-pawpularity-score__1687a679cfdb4fb4857bc1051584d218,petfinder-pawpularity-score,cards_senior_0801.jsonl:3,2,,,,,,-1,1
petfinder-pawpularity-score__1880373f9a8642f386832d7c358cf2da,petfinder-pawpularity-score,cards_senior_0801.jsonl:0,0,,,,1,,1,1
petfinder-pawpularity-score__1c132db59f584b1097915659417d7d4b,petfinder-pawpularity-score,cards_senior_0801.jsonl:3,2,,,,,,-1,-1
petfinder-pawpularity-score__1d65336c542b4e498a50a11e626360a1,petfinder-pawpularity-score,cards_senior_0724.jsonl:1,0,,-1,,,,-1,-1
petfinder-pawpularity-score__21d9e7cba6bb453e92aa002b04baedd8,petfinder-pawpularity-score,cards_senior_0804.jsonl:2,3,,,,,,-1,1
petfinder-pawpularity-score__28188e4897ce4dff99ded3b2bde78ddf,petfinder-pawpularity-score,cards_senior_0801.jsonl:0,0,,,,,,-1,1
petfinder-pawpularity-score__29a8d9bd65e841f7898432000c502094,petfinder-pawpularity-score,cards_senior_0801.jsonl:3,2,,,1,,,1,1
petfinder-pawpularity-score__336e66b085d84a4cbd5cd646939e2308,petfinder-pawpularity-score,cards_senior_0727.jsonl:2,1,,,,,,-1,-1
petfinder-pawpularity-score__34f4d5565ba84d229245de3697a2e787,petfinder-pawpularity-score,cards_senior_0727.jsonl:2,1,1,1,1,,-1,1,-1
petfinder-pawpularity-score__35608cd0fb894260ab988723f035f989,petfinder-pawpularity-score,cards_senior_0730.jsonl:1,1,,-1,,,,1,1
petfinder-pawpularity-score__3a5fd4019c1941d8aaf777a22538b58b,petfinder-pawpularity-score,cards_senior_0805seq.jsonl:2,2,,,,,,1,-1
petfinder-pawpularity-score__3acd123079d44b0ca23b08bf598de59f,petfinder-pawpularity-score,cards_senior_0727.jsonl:2,1,1,1,1,,-1,1,1
petfinder-pawpularity-score__3bccc9dcc4a4438d9e90e455c1a88336,petfinder-pawpularity-score,cards_senior_0729.jsonl:2,3,,,,,,-1,1
petfinder-pawpularity-score__3d866f73c16644c0960239f25dc3a972,petfinder-pawpularity-score,cards_senior_0730.jsonl:2,3,,,,,,1,1
petfinder-pawpularity-score__3dd2bc9a44824ad89d2ce5946e5368dd,petfinder-pawpularity-score,cards_senior_0724.jsonl:7,3,1,,,,1,1,1
petfinder-pawpularity-score__3ed8e0ac90a34f24be3828728e9d56f2,petfinder-pawpularity-score,cards_senior_0730.jsonl:2,3,,,,,,-1,1
petfinder-pawpularity-score__42d487dcb2e74f5ababc2f120e871c17,petfinder-pawpularity-score,cards_senior_0804.jsonl:0,2,,,,,,-1,-1
petfinder-pawpularity-score__45960ebaa4834a889e695599ccb2a723,petfinder-pawpularity-score,cards_senior_0805seq.jsonl:0,1,,,,,,-1,1
petfinder-pawpularity-score__47d3b9f13ab44118bba92bd035b2d19b,petfinder-pawpularity-score,cards_senior_0730.jsonl:1,1,1,,1,,1,-1,1
petfinder-pawpularity-score__4b490dbeb68740759ee12e747f0a903f,petfinder-pawpularity-score,cards_senior_0801.jsonl:3,2,,,,,,-1,-1
petfinder-pawpularity-score__4eae48d5d867481c9d8181367ac14ea1,petfinder-pawpularity-score,cards_senior_0730.jsonl:3,1,-1,,-1,,-1,1,-1
petfinder-pawpularity-score__56826c11652e4150af576620ae57a2f0,petfinder-pawpularity-score,cards_senior_0728.jsonl:1,3,,,,,,-1,1
petfinder-pawpularity-score__5cd783c93a824d7188d51c34fc1a1bd9,petfinder-pawpularity-score,cards_senior_0729.jsonl:0,1,,,,,,-1,1
petfinder-pawpularity-score__5d956b5fba594e12b992b0c77b7a852b,petfinder-pawpularity-score,cards_senior_0730.jsonl:1,1,,,,,,1,1
petfinder-pawpularity-score__5d9e328d8e1d49519c10292c632eae30,petfinder-pawpularity-score,cards_senior_0805seq.jsonl:2,2,,,1,,,-1,1
petfinder-pawpularity-score__603833c1632e444e9a0168983467ebb3,petfinder-pawpularity-score,cards_senior_0731.jsonl:1,1,,-1,,-1,,-1,1
petfinder-pawpularity-score__63a3fd99a7e043e7afe7177fc2423dd7,petfinder-pawpularity-score,cards_senior_0805seq.jsonl:1,3,,,,-1,,-1,1
petfinder-pawpularity-score__64515d73e8154e4e8fe96c0f6a0b0104,petfinder-pawpularity-score,cards_senior_0724.jsonl:4,4,1,1,,,-1,-1,-1
petfinder-pawpularity-score__698eab8ef9534cd786e76154e6db8ddb,petfinder-pawpularity-score,cards_senior_0801.jsonl:0,0,-1,,,,1,-1,-1
petfinder-pawpularity-score__69bbd947e78b4002848a8544f7aaaf29,petfinder-pawpularity-score,cards_senior_0805seq.jsonl:2,2,,,,,,1,1
petfinder-pawpularity-score__6af457851f894ab292e9de4f6986b07b,petfinder-pawpularity-score,cards_senior_0801.jsonl:3,2,1,,1,,-1,1,-1
petfinder-pawpularity-score__6ba45109be4c413291f7dfa9a56b8d21,petfinder-pawpularity-score,cards_senior_0730.jsonl:3,1,,1,,1,,-1,-1
petfinder-pawpularity-score__6c9b9738258b458ca4333d0355e55cbd,petfinder-pawpularity-score,cards_senior_0805seq.jsonl:0,1,,,,,,-1,-1
petfinder-pawpularity-score__6e9897a4e5a14d6ba926b68a5feb0318,petfinder-pawpularity-score,cards_senior_0801.jsonl:3,2,-1,-1,-1,,1,1,1
petfinder-pawpularity-score__6eb03bc75ee842a6a17f514a2f57a174,petfinder-pawpularity-score,cards_senior_0801.jsonl:3,2,,,1,,,1,1
petfinder-pawpularity-score__6ed86029e9674962a65e1f74ad5dc363,petfinder-pawpularity-score,cards_senior_0727.jsonl:1,2,,-1,,,,-1,-1
petfinder-pawpularity-score__6fcd62c307554137b3d54658802ee2b8,petfinder-pawpularity-score,cards_senior_0729.jsonl:0,1,,,1,,,1,1
petfinder-pawpularity-score__7041d87cb451460ebafde7101bc3baf0,petfinder-pawpularity-score,cards_senior_0805seq.jsonl:0,1,,,,1,,1,1
petfinder-pawpularity-score__771e9e285a69442fa78890b9c3e924d0,petfinder-pawpularity-score,cards_senior_0730.jsonl:1,1,-1,,,-1,1,-1,-1
petfinder-pawpularity-score__78b2d1f266ca407c905f4952bd85af06,petfinder-pawpularity-score,cards_senior_0801.jsonl:3,2,,,,,,1,1
petfinder-pawpularity-score__7f94f44d705e495abb8ffa9571e61854,petfinder-pawpularity-score,cards_senior_0805seq.jsonl:2,2,,,,,,-1,-1
petfinder-pawpularity-score__7fe6decf0cb1416ab18de6761de9782e,petfinder-pawpularity-score,cards_senior_0805seq.jsonl:0,1,,,,,,1,1
petfinder-pawpularity-score__8807d71b1a904615af2010f8f775e235,petfinder-pawpularity-score,cards_senior_0728.jsonl:1,3,-1,,,,1,1,1
petfinder-pawpularity-score__88cdb70b010345df9b4574ed14f9ca0b,petfinder-pawpularity-score,cards_senior_0729.jsonl:3,3,,,,,,-1,1
petfinder-pawpularity-score__8e0aa505c7eb44f6bd154a03b1d54721,petfinder-pawpularity-score,cards_senior_0801.jsonl:3,2,-1,,-1,,-1,-1,1
petfinder-pawpularity-score__923808c454f94247a5e4883360792308,petfinder-pawpularity-score,cards_senior_0801.jsonl:0,0,,,,,,1,1
petfinder-pawpularity-score__98c3cb6de9cd4dd6beb2a9ec309a2a24,petfinder-pawpularity-score,cards_senior_0731.jsonl:0,1,,-1,,,,-1,-1
petfinder-pawpularity-score__9a49c70f941047f5b4a73052e27d3e62,petfinder-pawpularity-score,cards_senior_0731.jsonl:0,1,,,,,,-1,1
petfinder-pawpularity-score__9f55fb2b876948d9a7af87efab04cd16,petfinder-pawpularity-score,cards_senior_0730.jsonl:2,3,-1,-1,-1,,1,-1,1
petfinder-pawpularity-score__a110f9df1182484cb25b99c77e2f6633,petfinder-pawpularity-score,cards_senior_0729.jsonl:1,1,,,,,,1,-1
petfinder-pawpularity-score__a153e50405bc4c6aaf719ca80db247aa,petfinder-pawpularity-score,cards_senior_0805seq.jsonl:0,1,,,,,,-1,-1
petfinder-pawpularity-score__a2d87e50e3b14ae0a739b0daff06eaad,petfinder-pawpularity-score,cards_senior_0727.jsonl:3,0,1,,1,,1,-1,-1
petfinder-pawpularity-score__a397f5014bb54ba7bb699b5ade6693c5,petfinder-pawpularity-score,cards_senior_0730.jsonl:1,1,,,,-1,,1,1
petfinder-pawpularity-score__a3a59e1255134672a1c14b15b6fe44ed,petfinder-pawpularity-score,cards_senior_0731.jsonl:3,2,,,,,,1,1
petfinder-pawpularity-score__a5842830a7f749fc9caa28e7fa17415a,petfinder-pawpularity-score,cards_senior_0801.jsonl:0,0,,,,,,-1,1
petfinder-pawpularity-score__a78f115ebb794223ba3f127988379774,petfinder-pawpularity-score,cards_senior_0801.jsonl:3,2,,,,-1,,1,1
petfinder-pawpularity-score__ab5d5ff52a504d269ab3cba8873d37b5,petfinder-pawpularity-score,cards_senior_0805seq.jsonl:0,1,,,,,,-1,1
petfinder-pawpularity-score__ae912c3b90f24311bd32e5223b3c0010,petfinder-pawpularity-score,cards_senior_0730.jsonl:1,1,,,,,,-1,1
petfinder-pawpularity-score__afb95aa3e9d547afac278ea47c5aca39,petfinder-pawpularity-score,cards_senior_0731.jsonl:1,1,,,,,,1,-1
petfinder-pawpularity-score__b8e3e4e3abc84da9b9b7ce7ea2ed2c6c,petfinder-pawpularity-score,cards_senior_0729.jsonl:2,3,-1,-1,,,-1,-1,-1
petfinder-pawpularity-score__c09b2754cacc4b95951cb386c34e8e53,petfinder-pawpularity-score,cards_senior_0730.jsonl:3,1,,,,,,-1,1
petfinder-pawpularity-score__c351bc39bba44f0aaa0ab0e50aa1283b,petfinder-pawpularity-score,cards_senior_0730.jsonl:2,3,,,,,,-1,1
petfinder-pawpularity-score__c93f1886ee7b49a69e0cabb5b554218c,petfinder-pawpularity-score,cards_senior_0730.jsonl:1,1,,-1,,,,1,-1
petfinder-pawpularity-score__c9d73e1228b340bd8f0d366904f49add,petfinder-pawpularity-score,cards_senior_0727.jsonl:2,1,-1,,-1,,1,1,-1
petfinder-pawpularity-score__c9dd63918f4841b79f6b6a55d17e92ec,petfinder-pawpularity-score,cards_senior_0801.jsonl:3,2,,,,,,-1,-1
petfinder-pawpularity-score__cdd2d012768d4f5d9019f28c8e7cdefd,petfinder-pawpularity-score,cards_senior_0730.jsonl:3,1,,1,,,,1,-1
petfinder-pawpularity-score__d2964ed7078b47cf88f2238de6fc20fb,petfinder-pawpularity-score,cards_senior_0804.jsonl:2,3,,,,-1,,-1,-1
petfinder-pawpularity-score__d5c1fd26d6a3491391819ffc96a42b4f,petfinder-pawpularity-score,cards_senior_0801.jsonl:3,2,-1,,-1,-1,-1,-1,1
petfinder-pawpularity-score__d7e9b67d6e0d4a3fa1e610cc736d70f1,petfinder-pawpularity-score,cards_senior_0731.jsonl:3,2,,1,,,,-1,-1
petfinder-pawpularity-score__dafe3ad24bf74d8e90e6c12cb742e45e,petfinder-pawpularity-score,cards_senior_0805seq.jsonl:2,2,,,,,,1,1
petfinder-pawpularity-score__dd23091243344cc093efa7cc65b1dbb0,petfinder-pawpularity-score,cards_senior_0804.jsonl:2,3,,,,,,1,1
petfinder-pawpularity-score__de0e6b10f3f4444d8b46fbc4a837ef29,petfinder-pawpularity-score,cards_senior_0801.jsonl:0,0,,-1,,,,-1,-1
petfinder-pawpularity-score__de6c2c259335444e9bf2a51a36e1b09c,petfinder-pawpularity-score,cards_senior_0801.jsonl:3,2,,,,,,1,-1
petfinder-pawpularity-score__df2d46c8a00949d88752fe04d6fee0d4,petfinder-pawpularity-score,cards_senior_0801.jsonl:3,2,,,,,,-1,-1
petfinder-pawpularity-score__df7f2a35b7664bb987acaa320e9f29aa,petfinder-pawpularity-score,cards_senior_0804.jsonl:3,3,,,,,,-1,-1
petfinder-pawpularity-score__e2b9c605d45247ada25fdaff411f090a,petfinder-pawpularity-score,cards_senior_0727.jsonl:3,0,,,,,,-1,-1
petfinder-pawpularity-score__e56801d5665945159a5851b72579f9d2,petfinder-pawpularity-score,cards_senior_0728.jsonl:2,4,,,,-1,,1,1
petfinder-pawpularity-score__e5b1af22ccb2451bbc94f74554e92f14,petfinder-pawpularity-score,cards_senior_0804.jsonl:0,2,,,,,,1,1
petfinder-pawpularity-score__e62bfbe231cf4bea9b2b93959a5c6374,petfinder-pawpularity-score,cards_senior_0805seq.jsonl:2,2,,,-1,-1,,1,-1
petfinder-pawpularity-score__ed282bf0d54a40e69582c84fb1df1b4c,petfinder-pawpularity-score,cards_senior_0727.jsonl:1,2,,,,-1,,-1,-1
petfinder-pawpularity-score__ee6cfd224d7c4c45b59e140d2434299a,petfinder-pawpularity-score,cards_senior_0731.jsonl:1,1,1,,1,1,1,1,-1
petfinder-pawpularity-score__f57d90b44b0d4ae3bdcaeef7ba8b7db0,petfinder-pawpularity-score,cards_senior_0727.jsonl:0,0,,,,-1,,-1,1
petfinder-pawpularity-score__f5cbeebdd958459996d866572d31cd61,petfinder-pawpularity-score,cards_senior_0728.jsonl:0,4,,,,,,1,1
petfinder-pawpularity-score__f63d5385265c48c48ad06d18d49c5df9,petfinder-pawpularity-score,cards_senior_0801.jsonl:3,2,,,,-1,,1,-1
petfinder-pawpularity-score__f9e2b0fa2adb46bb88c2be3347518554,petfinder-pawpularity-score,cards_senior_0801.jsonl:3,2,,,,,,1,-1
petfinder-pawpularity-score__fe183950188a485da6b4f1a1c53d2874,petfinder-pawpularity-score,cards_senior_0728.jsonl:2,4,,,,,,1,-1
petfinder-pawpularity-score__fe43b31ac62842d7bcd69ef35135ddc6,petfinder-pawpularity-score,cards_senior_0801.jsonl:3,2,,,,,,-1,1
petfinder-pawpularity-score__feb7f8a8e9a04c8db9fa21ca0f45146c,petfinder-pawpularity-score,cards_senior_0730.jsonl:1,1,,-1,,-1,,1,-1
random-acts-of-pizza__00c95077318c4914a884c21a9a045124,random-acts-of-pizza,cards_senior_0811.jsonl:25,4,,,,,,1,-1
random-acts-of-pizza__02acf17c33ed41529706aa9e55c5ee1c,random-acts-of-pizza,cards_senior_0811.jsonl:21,0,,,,,,1,-1
random-acts-of-pizza__0304d7957287437a92c0d6995f819f48,random-acts-of-pizza,cards_gen2C.jsonl:0,2,-1,,-1,,-1,-1,-1
random-acts-of-pizza__058454df98b24ee181491cffdca319e8,random-acts-of-pizza,cards_senior_0811.jsonl:25,4,,,,-1,,1,-1
random-acts-of-pizza__060571d0f1a94a0eb2cc5f7cee0642f6,random-acts-of-pizza,cards_senior_0811.jsonl:21,0,,,,,,1,1
random-acts-of-pizza__07cb1fbbeeac4ccc95c148a37e5f44ad,random-acts-of-pizza,cards_senior_0811.jsonl:24,0,1,,,,-1,-1,1
random-acts-of-pizza__0851d5f613064e5d9ece22c6ad5674e7,random-acts-of-pizza,cards_senior_0811.jsonl:25,4,,-1,,,,1,-1
random-acts-of-pizza__09edec93b0cf4140b838988574185859,random-acts-of-pizza,cards_senior_0811.jsonl:21,0,-1,,-1,,1,1,1
random-acts-of-pizza__0accd3c4a2ad414ea6bc5c8d81349151,random-acts-of-pizza,cards_senior_0811.jsonl:21,0,,,-1,,,-1,1
random-acts-of-pizza__0bc7787e44ff4e779eac9c9318dc051c,random-acts-of-pizza,cards_senior_0809.jsonl:18,4,,,,,,-1,1
random-acts-of-pizza__0bda057028e342958b5e31f2515cf1fc,random-acts-of-pizza,cards_senior_0811.jsonl:20,0,1,,1,,1,1,1
random-acts-of-pizza__0bea10e6b0af49b7b80afb7aae0bfdc7,random-acts-of-pizza,cards_senior_0809.jsonl:18,4,,-1,,,,-1,1
random-acts-of-pizza__0e2fcc53a3e14d6ab34651c2881dddc5,random-acts-of-pizza,cards_senior_0811.jsonl:21,0,,,,1,,1,-1
random-acts-of-pizza__0e403944f0d0436097d2bf2c60300056,random-acts-of-pizza,cards_senior_0811.jsonl:27,3,,,,,,1,-1
random-acts-of-pizza__12daad5746f249fb8717dbc0c083d615,random-acts-of-pizza,cards_senior_0809.jsonl:18,4,,,,,,-1,-1
random-acts-of-pizza__14a8a5ff56ee48fa8f6ca54f8eedd0c1,random-acts-of-pizza,cards_senior_0811.jsonl:27,3,-1,,,,1,-1,-1
random-acts-of-pizza__167ca9ea87ea48589119c958832439a7,random-acts-of-pizza,cards_senior_0811.jsonl:20,0,,-1,,,,-1,-1
random-acts-of-pizza__1c2cf636b04d40f5b0b8fea347ac6c36,random-acts-of-pizza,cards_senior_0811.jsonl:24,0,,,,,,1,-1
random-acts-of-pizza__1c6c2483bbde4e2fa2a88eebd0d8d1f7,random-acts-of-pizza,cards_senior_0811.jsonl:20,0,,,,,,-1,-1
random-acts-of-pizza__1cfd77e765af4ed9bc152224999fbcbf,random-acts-of-pizza,cards_senior_0811.jsonl:22,0,1,1,,,1,1,-1
random-acts-of-pizza__206bf5a6645e43c29cd2b8550b00c3bc,random-acts-of-pizza,cards_ours_20260727.jsonl:64,2,,,,,,-1,1
random-acts-of-pizza__2194382eb2ed442a8fed50199a9bd1f8,random-acts-of-pizza,cards_senior_0809.jsonl:18,4,,-1,,,,-1,1
random-acts-of-pizza__21995d0c70884f809565e7bdec4002ef,random-acts-of-pizza,cards_senior_0809.jsonl:18,4,-1,-1,,,1,1,1
random-acts-of-pizza__22bb5e6414a049afac6eebfc54af616a,random-acts-of-pizza,cards_senior_0811.jsonl:20,0,,,-1,,,-1,-1
random-acts-of-pizza__24bf9eb8ca564707a5eaa5d80e66bc11,random-acts-of-pizza,cards_gen2A.jsonl:0,2,1,1,,,1,-1,-1
random-acts-of-pizza__26877cdc019d494fb206a687e22405b2,random-acts-of-pizza,cards_ours_20260727.jsonl:65,2,,,,1,,1,-1
random-acts-of-pizza__2810daa7cafc4370b54cd4667a4d3235,random-acts-of-pizza,cards_senior_0811.jsonl:21,0,,,,,,1,-1
random-acts-of-pizza__282b9985cedc49f4b936875cf3f2e498,random-acts-of-pizza,cards_senior_0811.jsonl:21,0,,1,,,,1,-1
random-acts-of-pizza__284db7f4a5714e3890aeca004763c0d3,random-acts-of-pizza,cards_senior_0811.jsonl:25,4,,,,,,-1,1
random-acts-of-pizza__285789f6d9a640baa21eddf7808c5614,random-acts-of-pizza,cards_senior_0811.jsonl:25,4,,,,,,1,1
