task,model_family,release_run,model_token,temperature_token,timestamp,size,oid,path
random-acts-of-pizza,deepseek,3,deepseek-reasoner,1p0,20251209_164656,14028211,da473db653985d2ee5d1216b1c8b574be8d529f2,solutions_subset_50/random-acts-of-pizza/report/alignment_random-acts-of-pizza_n2_data-both_deepseek-reasoner_1p0_pboost_cot_20251209_164656.json
random-acts-of-pizza,gpt,1,gpt-5_1,1p0,20251210_154406,4822067,25371ab50357b534ae7a7de8051d5ced14fea465,solutions_subset_50/random-acts-of-pizza/report/alignment_random-acts-of-pizza_n2_data-both_gpt-5_1_1p0_pboost_cot_20251210_154406.json
random-acts-of-pizza,gpt,2,gpt-5_1,1p0,20251211_161746,4212941,0e7af4acb7612a8eaa01b292e6862fdedc5c6133,solutions_subset_50/random-acts-of-pizza/report/alignment_random-acts-of-pizza_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_161746.json
random-acts-of-pizza,gpt,3,gpt-5_1,1p0,20251211_171620,4218293,80b3e3d6b9528819c7e00d0ea3061f4e6796e770,solutions_subset_50/random-acts-of-pizza/report/alignment_random-acts-of-pizza_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_171620.json
spooky-author-identification,deepseek,1,deepseek-reasoner,0p0,20251206_193938,12952291,0dbe7e002c74253a759173a23b5923adf1c87c19,solutions_subset_50/spooky-author-identification/report/alignment_spooky-author-identification_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251206_193938.json
spooky-author-identification,deepseek,2,deepseek-reasoner,0p0,20251209_135057,12700224,f062ba12047e1402e524fe03c66c663c09eed7ec,solutions_subset_50/spooky-author-identification/report/alignment_spooky-author-identification_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251209_135057.json
spooky-author-identification,deepseek,3,deepseek-reasoner,1p0,20251209_164656,12606701,1eed320f8d3a3bc5526acbdb46584048b8ac90f8,solutions_subset_50/spooky-author-identification/report/alignment_spooky-author-identification_n2_data-both_deepseek-reasoner_1p0_pboost_cot_20251209_164656.json
spooky-author-identification,gpt,1,gpt-5_1,1p0,20251210_154406,4206495,3dc586c82cbf46339a397da6cab2538af96d004f,solutions_subset_50/spooky-author-identification/report/alignment_spooky-author-identification_n2_data-both_gpt-5_1_1p0_pboost_cot_20251210_154406.json
spooky-author-identification,gpt,2,gpt-5_1,1p0,20251211_161746,3857998,7927db56541f8310138fd1c0a8ec3861028d727c,solutions_subset_50/spooky-author-identification/report/alignment_spooky-author-identification_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_161746.json
spooky-author-identification,gpt,3,gpt-5_1,1p0,20251211_171620,3894350,652b9cb78e4ddfb1da04673511e504d19cb95efe,solutions_subset_50/spooky-author-identification/report/alignment_spooky-author-identification_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_171620.json
stanford-covid-vaccine,deepseek,1,deepseek-reasoner,0p0,20251207_111258,14509753,46d58fc7148486a729e6ba90066a56d434684624,solutions_subset_50/stanford-covid-vaccine/report/alignment_stanford-covid-vaccine_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251207_111258.json
stanford-covid-vaccine,deepseek,2,deepseek-reasoner,0p0,20251209_135057,14824281,49c08f19c1f43064781e5a6c2f7fb6deb9c6b953,solutions_subset_50/stanford-covid-vaccine/report/alignment_stanford-covid-vaccine_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251209_135057.json
stanford-covid-vaccine,deepseek,3,deepseek-reasoner,1p0,20251209_164656,14737594,4e6bf013709d77e9d314c402384adc064cf94662,solutions_subset_50/stanford-covid-vaccine/report/alignment_stanford-covid-vaccine_n2_data-both_deepseek-reasoner_1p0_pboost_cot_20251209_164656.json
stanford-covid-vaccine,gpt,1,gpt-5_1,1p0,20251210_154406,5713753,7a6cb5b0cfdce4546a6e0c6a930e8e8394717efb,solutions_subset_50/stanford-covid-vaccine/report/alignment_stanford-covid-vaccine_n2_data-both_gpt-5_1_1p0_pboost_cot_20251210_154406.json
stanford-covid-vaccine,gpt,2,gpt-5_1,1p0,20251211_161746,5296803,c3348d6c92df1b87258ce4e7d62c7b5ceec4194c,solutions_subset_50/stanford-covid-vaccine/report/alignment_stanford-covid-vaccine_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_161746.json
stanford-covid-vaccine,gpt,3,gpt-5_1,1p0,20251211_171620,5290888,58a9a33b8bc0531fffdb3592b30ef89f3d18294f,solutions_subset_50/stanford-covid-vaccine/report/alignment_stanford-covid-vaccine_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_171620.json
statoil-iceberg-classifier-challenge,deepseek,1,deepseek-reasoner,0p0,20251207_125137,13069872,134913f6f3747759c66c0f72a7f509ee842eb605,solutions_subset_50/statoil-iceberg-classifier-challenge/report/alignment_statoil-iceberg-classifier-challenge_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251207_125137.json
statoil-iceberg-classifier-challenge,deepseek,2,deepseek-reasoner,0p0,20251209_135057,13090753,ff063677fea037bf8cd2d20198c748107ead1456,solutions_subset_50/statoil-iceberg-classifier-challenge/report/alignment_statoil-iceberg-classifier-challenge_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251209_135057.json
statoil-iceberg-classifier-challenge,deepseek,3,deepseek-reasoner,1p0,20251209_164656,13113553,8ffcff97afef369f767c5250d352acf1c863e99a,solutions_subset_50/statoil-iceberg-classifier-challenge/report/alignment_statoil-iceberg-classifier-challenge_n2_data-both_deepseek-reasoner_1p0_pboost_cot_20251209_164656.json
statoil-iceberg-classifier-challenge,gpt,1,gpt-5_1,1p0,20251210_154406,5176156,3fe682dac344fe8b485b2a871b758a12b6197c77,solutions_subset_50/statoil-iceberg-classifier-challenge/report/alignment_statoil-iceberg-classifier-challenge_n2_data-both_gpt-5_1_1p0_pboost_cot_20251210_154406.json
statoil-iceberg-classifier-challenge,gpt,2,gpt-5_1,1p0,20251211_161746,4594000,9f5484b1ad4150df3c3347603c7251f2d7d81747,solutions_subset_50/statoil-iceberg-classifier-challenge/report/alignment_statoil-iceberg-classifier-challenge_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_161746.json
statoil-iceberg-classifier-challenge,gpt,3,gpt-5_1,1p0,20251211_171620,4543104,8789eedeb6a601518eab8ea9da3abfb85cebb025,solutions_subset_50/statoil-iceberg-classifier-challenge/report/alignment_statoil-iceberg-classifier-challenge_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_171620.json
tabular-playground-series-dec-2021,deepseek,1,deepseek-reasoner,0p0,20251207_133526,3020421,d1d631f60eadbf81b47d7c3e886194d7719b5521,solutions_subset_50/tabular-playground-series-dec-2021/report/alignment_tabular-playground-series-dec-2021_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251207_133526.json
tabular-playground-series-dec-2021,deepseek,2,deepseek-reasoner,0p0,20251209_135057,3018341,a3238ddd3cf7be88fb8294b401a494e8a369cba8,solutions_subset_50/tabular-playground-series-dec-2021/report/alignment_tabular-playground-series-dec-2021_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251209_135057.json
tabular-playground-series-dec-2021,deepseek,3,deepseek-reasoner,1p0,20251209_164656,3036378,ec4942dcaa78fdcb65443cf559d559754aa35d0b,solutions_subset_50/tabular-playground-series-dec-2021/report/alignment_tabular-playground-series-dec-2021_n2_data-both_deepseek-reasoner_1p0_pboost_cot_20251209_164656.json
tabular-playground-series-dec-2021,gpt,1,gpt-5_1,1p0,20251210_154406,1156867,80701326ac8f90f7437322c4acdf375e54bde78e,solutions_subset_50/tabular-playground-series-dec-2021/report/alignment_tabular-playground-series-dec-2021_n2_data-both_gpt-5_1_1p0_pboost_cot_20251210_154406.json
tabular-playground-series-dec-2021,gpt,2,gpt-5_1,1p0,20251211_161746,1085081,a5277a0822c1e6cdf427fcb883a234a85fd4213a,solutions_subset_50/tabular-playground-series-dec-2021/report/alignment_tabular-playground-series-dec-2021_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_161746.json
tabular-playground-series-dec-2021,gpt,3,gpt-5_1,1p0,20251211_171620,1090424,69b7c76cf463d508e12052c8c6436ba325872d86,solutions_subset_50/tabular-playground-series-dec-2021/report/alignment_tabular-playground-series-dec-2021_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_171620.json
tensorflow-speech-recognition-challenge,deepseek,1,deepseek-reasoner,0p0,20251207_133526,18660773,9d1da6a9e2cee1ec2960f5ba7ee97fd73b74d904,solutions_subset_50/tensorflow-speech-recognition-challenge/report/alignment_tensorflow-speech-recognition-challenge_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251207_133526.json
tensorflow-speech-recognition-challenge,deepseek,2,deepseek-reasoner,0p0,20251209_135057,18618984,159023197c701e96bd980bec95173e2ff92fa3ab,solutions_subset_50/tensorflow-speech-recognition-challenge/report/alignment_tensorflow-speech-recognition-challenge_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251209_135057.json
tensorflow-speech-recognition-challenge,deepseek,3,deepseek-reasoner,1p0,20251209_164656,18405131,e48f2cc3b66de0b56c26f83610e311f75c552403,solutions_subset_50/tensorflow-speech-recognition-challenge/report/alignment_tensorflow-speech-recognition-challenge_n2_data-both_deepseek-reasoner_1p0_pboost_cot_20251209_164656.json
tensorflow-speech-recognition-challenge,gpt,1,gpt-5_1,1p0,20251210_154406,5118203,6cd3597a0f7f883176920dbe5dab6fe823162a32,solutions_subset_50/tensorflow-speech-recognition-challenge/report/alignment_tensorflow-speech-recognition-challenge_n2_data-both_gpt-5_1_1p0_pboost_cot_20251210_154406.json
tensorflow-speech-recognition-challenge,gpt,2,gpt-5_1,1p0,20251211_161746,4537782,479eebcf28ead704f1c5e084e735c60f644f77fe,solutions_subset_50/tensorflow-speech-recognition-challenge/report/alignment_tensorflow-speech-recognition-challenge_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_161746.json
tensorflow-speech-recognition-challenge,gpt,3,gpt-5_1,1p0,20251211_171620,4522308,ee162dc172d8137c141a72ec57b86f3f58736b23,solutions_subset_50/tensorflow-speech-recognition-challenge/report/alignment_tensorflow-speech-recognition-challenge_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_171620.json
tgs-salt-identification-challenge,deepseek,1,deepseek-reasoner,0p0,20251207_133526,11727756,8a85e11306702f3ec55da9dedee65b810c2d18a3,solutions_subset_50/tgs-salt-identification-challenge/report/alignment_tgs-salt-identification-challenge_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251207_133526.json
tgs-salt-identification-challenge,deepseek,2,deepseek-reasoner,0p0,20251209_135057,11679527,8b2bab4d2b70633b8dcac09db29f09ed7b347b5c,solutions_subset_50/tgs-salt-identification-challenge/report/alignment_tgs-salt-identification-challenge_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251209_135057.json
tgs-salt-identification-challenge,deepseek,3,deepseek-reasoner,1p0,20251209_164656,11882229,64e205956f0dd8c5555519c83526a272d595c0b4,solutions_subset_50/tgs-salt-identification-challenge/report/alignment_tgs-salt-identification-challenge_n2_data-both_deepseek-reasoner_1p0_pboost_cot_20251209_164656.json
tgs-salt-identification-challenge,gpt,1,gpt-5_1,1p0,20251210_154406,4390015,b6bddfed14e466ae1eee54577eb4837ef9d5d455,solutions_subset_50/tgs-salt-identification-challenge/report/alignment_tgs-salt-identification-challenge_n2_data-both_gpt-5_1_1p0_pboost_cot_20251210_154406.json
tgs-salt-identification-challenge,gpt,2,gpt-5_1,1p0,20251211_161746,3863232,14283ce6ec98ead5056a39850c19a2d5561c43f1,solutions_subset_50/tgs-salt-identification-challenge/report/alignment_tgs-salt-identification-challenge_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_161746.json
tgs-salt-identification-challenge,gpt,3,gpt-5_1,1p0,20251211_171620,3952803,ca38029ba03bfacb9a59d26795251f58b2752990,solutions_subset_50/tgs-salt-identification-challenge/report/alignment_tgs-salt-identification-challenge_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_171620.json
the-icml-2013-whale-challenge-right-whale-redux,deepseek,1,deepseek-reasoner,0p0,20251207_100407,3060679,04c04b47e4bddad5fa43fd1ea570644904c12c95,solutions_subset_50/the-icml-2013-whale-challenge-right-whale-redux/report/alignment_the-icml-2013-whale-challenge-right-whale-redux_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251207_100407.json
the-icml-2013-whale-challenge-right-whale-redux,deepseek,2,deepseek-reasoner,0p0,20251209_135057,3079137,611ce51ae896aa13963209151e1f74be2b5da0a9,solutions_subset_50/the-icml-2013-whale-challenge-right-whale-redux/report/alignment_the-icml-2013-whale-challenge-right-whale-redux_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251209_135057.json
the-icml-2013-whale-challenge-right-whale-redux,deepseek,3,deepseek-reasoner,1p0,20251209_164656,2996564,da992a8dd90215cf879c8384fb15e7274ff24899,solutions_subset_50/the-icml-2013-whale-challenge-right-whale-redux/report/alignment_the-icml-2013-whale-challenge-right-whale-redux_n2_data-both_deepseek-reasoner_1p0_pboost_cot_20251209_164656.json
the-icml-2013-whale-challenge-right-whale-redux,gpt,1,gpt-5_1,1p0,20251210_154406,1111968,ed8189ff89df851ac8f6aec3bad90f84f1031b3d,solutions_subset_50/the-icml-2013-whale-challenge-right-whale-redux/report/alignment_the-icml-2013-whale-challenge-right-whale-redux_n2_data-both_gpt-5_1_1p0_pboost_cot_20251210_154406.json
the-icml-2013-whale-challenge-right-whale-redux,gpt,2,gpt-5_1,1p0,20251211_161746,1071634,550b89ea00a13649fd9f66633b7d5764657669e4,solutions_subset_50/the-icml-2013-whale-challenge-right-whale-redux/report/alignment_the-icml-2013-whale-challenge-right-whale-redux_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_161746.json
the-icml-2013-whale-challenge-right-whale-redux,gpt,3,gpt-5_1,1p0,20251211_171620,1054206,aecc5c00211b300da2029082fad5b49050ca98e5,solutions_subset_50/the-icml-2013-whale-challenge-right-whale-redux/report/alignment_the-icml-2013-whale-challenge-right-whale-redux_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_171620.json
tweet-sentiment-extraction,deepseek,1,deepseek-reasoner,0p0,20251207_100407,2112030,5e9a1629dd01f4bfbb9772e39cf3e34c0117b42e,solutions_subset_50/tweet-sentiment-extraction/report/alignment_tweet-sentiment-extraction_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251207_100407.json
tweet-sentiment-extraction,deepseek,2,deepseek-reasoner,0p0,20251209_135057,2103924,cb8ad7a68dc6d25a847b802b790eac2f862b8a34,solutions_subset_50/tweet-sentiment-extraction/report/alignment_tweet-sentiment-extraction_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251209_135057.json
tweet-sentiment-extraction,deepseek,3,deepseek-reasoner,1p0,20251209_164656,2107136,b18da4d5807df41be92546fbb23d64524fdaaa6c,solutions_subset_50/tweet-sentiment-extraction/report/alignment_tweet-sentiment-extraction_n2_data-both_deepseek-reasoner_1p0_pboost_cot_20251209_164656.json
tweet-sentiment-extraction,gpt,1,gpt-5_1,1p0,20251210_154406,884620,a204d93bb22cd20723f57b2969ea7676fbc2723a,solutions_subset_50/tweet-sentiment-extraction/report/alignment_tweet-sentiment-extraction_n2_data-both_gpt-5_1_1p0_pboost_cot_20251210_154406.json
tweet-sentiment-extraction,gpt,2,gpt-5_1,1p0,20251211_161746,826535,68a34a691308503286d8f627483b56dd648a136b,solutions_subset_50/tweet-sentiment-extraction/report/alignment_tweet-sentiment-extraction_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_161746.json
tweet-sentiment-extraction,gpt,3,gpt-5_1,1p0,20251211_171620,824216,d8b3ef9a30174c4e15a48e4e963a682882353f74,solutions_subset_50/tweet-sentiment-extraction/report/alignment_tweet-sentiment-extraction_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_171620.json
us-patent-phrase-to-phrase-matching,deepseek,1,deepseek-reasoner,0p0,20251207_100407,13144676,3b60cfa5c3f5e504b0b646bab47a9fe59b2fe50d,solutions_subset_50/us-patent-phrase-to-phrase-matching/report/alignment_us-patent-phrase-to-phrase-matching_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251207_100407.json
us-patent-phrase-to-phrase-matching,deepseek,2,deepseek-reasoner,0p0,20251209_135057,13037245,a1238b13638e0cee0c0b44bea86312aa5547bfff,solutions_subset_50/us-patent-phrase-to-phrase-matching/report/alignment_us-patent-phrase-to-phrase-matching_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251209_135057.json
us-patent-phrase-to-phrase-matching,deepseek,3,deepseek-reasoner,1p0,20251209_164656,13077072,3cbec1bd46243c5c2052f053b98d2c86c46e5beb,solutions_subset_50/us-patent-phrase-to-phrase-matching/report/alignment_us-patent-phrase-to-phrase-matching_n2_data-both_deepseek-reasoner_1p0_pboost_cot_20251209_164656.json
us-patent-phrase-to-phrase-matching,gpt,1,gpt-5_1,1p0,20251210_154406,4624752,08cd80317d6d7e98ce45514b9b8c0bcb8867a232,solutions_subset_50/us-patent-phrase-to-phrase-matching/report/alignment_us-patent-phrase-to-phrase-matching_n2_data-both_gpt-5_1_1p0_pboost_cot_20251210_154406.json
us-patent-phrase-to-phrase-matching,gpt,2,gpt-5_1,1p0,20251211_161746,4446461,962e52c0044b23595adae35b0d35e860fbfc62c3,solutions_subset_50/us-patent-phrase-to-phrase-matching/report/alignment_us-patent-phrase-to-phrase-matching_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_161746.json
us-patent-phrase-to-phrase-matching,gpt,3,gpt-5_1,1p0,20251211_171620,4367150,509b7c28d3b73b80643df4a1dad91cc4407e76a8,solutions_subset_50/us-patent-phrase-to-phrase-matching/report/alignment_us-patent-phrase-to-phrase-matching_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_171620.json
ventilator-pressure-prediction,deepseek,1,deepseek-reasoner,0p0,20251207_100407,12700905,4e59b2e4014ab51dcf103c211eff02baa97043c9,solutions_subset_50/ventilator-pressure-prediction/report/alignment_ventilator-pressure-prediction_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251207_100407.json
ventilator-pressure-prediction,deepseek,2,deepseek-reasoner,0p0,20251209_135057,12622609,fa380647aefb976200fc674444dd09c3272046a0,solutions_subset_50/ventilator-pressure-prediction/report/alignment_ventilator-pressure-prediction_n2_data-both_deepseek-reasoner_0p0_pboost_cot_20251209_135057.json
ventilator-pressure-prediction,deepseek,3,deepseek-reasoner,1p0,20251209_164656,12762506,d79d2277aa60796fbf09b6ca90767ce125b02e21,solutions_subset_50/ventilator-pressure-prediction/report/alignment_ventilator-pressure-prediction_n2_data-both_deepseek-reasoner_1p0_pboost_cot_20251209_164656.json
ventilator-pressure-prediction,gpt,1,gpt-5_1,1p0,20251210_154406,4675295,f2024fa1fcafbb41827a3a17ab62a4068bbdba16,solutions_subset_50/ventilator-pressure-prediction/report/alignment_ventilator-pressure-prediction_n2_data-both_gpt-5_1_1p0_pboost_cot_20251210_154406.json
ventilator-pressure-prediction,gpt,2,gpt-5_1,1p0,20251211_161746,4464767,13804c65a5b56aac11c200543fa8f0879efc058d,solutions_subset_50/ventilator-pressure-prediction/report/alignment_ventilator-pressure-prediction_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_161746.json
ventilator-pressure-prediction,gpt,3,gpt-5_1,1p0,20251211_171620,4402343,5537c90f7ca8f00f30cce051fab6a0b715cf320d,solutions_subset_50/ventilator-pressure-prediction/report/alignment_ventilator-pressure-prediction_n2_data-both_gpt-5_1_1p0_pboost_cot_20251211_171620.json
